Date : 2024-03-30 09:02:21
Directory : c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024
Total : 74 files,  9785 codes, 182 comments, 911 blanks, all 10878 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel0\Sensor.java                       | Java               |         48 |          0 |         11 |         59 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\Elevator.java                     | Java               |         74 |          0 |          9 |         83 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\PositionSwitch.java               | Java               |         35 |          0 |         10 |         45 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\Spinner.java                      | Java               |         52 |          0 |         10 |         62 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\SwerveModule.java                 | Java               |        133 |          0 |         15 |        148 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\Telemetry.java                    | Java               |        254 |          0 |         31 |        285 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\Turner.java                       | Java               |        107 |          0 |         11 |        118 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\controllers\Controller.java                  | Java               |        268 |          0 |         14 |        282 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\types\SixFunction.java                       | Java               |          5 |         14 |          1 |         20 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\utility\GoatMath.java                        | Java               |         38 |          0 |         11 |         49 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\utility\Spline.java                          | Java               |        196 |         76 |          0 |        272 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\Main.java                              | Java               |          8 |          3 |          5 |         16 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\Robot.java                             | Java               |         89 |          3 |         31 |        123 |
